School,Type of School/District,Evidence of advisory,Evidence of School based support Programming,Evidence of formal parent engagment,Evidence of student support teaming,Evidence of Dropout prevention,,Evidence of RTI implementation,Evidence of PBIS Implementation,Evidence of SEL Implementation,Has a school health center on site,Has a school mental health center on site,Evidence of contracts with community service providers,Evidence of county mental health partnership,Evidence of county health or public health  partnership,Evidence that this is a community school site
Monroe Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Moscone (George R.) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Muir (John) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
New Traditions Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
O'Connell (John) High, High Schools (Public),,,,,,,,,,,,,,,
Ortega (Jose) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Parker (Jean) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Parks (Rosa) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Peabody (George) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Presidio Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Redding Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Revere (Paul) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Rooftop Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Roosevelt Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
S.F. International High, Alternative Schools of Choice,,,,,,,,,,,,,,,
San Francisco Community Alternative, Elementary Schools (Public),,,,,,,,,,,,,,,
San Francisco Public Montessori, Elementary Schools (Public),,,,,,,,,,,,,,,
Sanchez Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Serra (Junipero) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Sheridan Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Sherman Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Sloat (Commodore) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Spring Valley Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Stevenson (Robert Louis) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Sunnyside Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Sunset Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Sutro Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Taylor (Edward R.) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Tenderloin Community, Elementary Schools (Public),,,,,,,,,,,,,,,
Ulloa Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Visitacion Valley Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Visitacion Valley Middle, Intermediate/Middle Schools (Public),,,,,,,,,,,,,,,
Wallenberg (Raoul) Traditional High, High Schools (Public),,,,,,,,,,,,,,,
Washington (George) High, High Schools (Public),,,,,,,,,,,,,,,
Webster (Daniel) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Wells (Ida B.) High, Continuation High Schools,,,,,,,,,,,,,,,
West Portal Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Yick Wo Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
Yu (Alice Fong) Elementary, Elementary Schools (Public),,,,,,,,,,,,,,,
